ID,Title,Beginning Date,Culture,Country,Medium,Classificatiion
555733,Model Sailing Boat Transporting a Mummy,-1900,,Egypt,"Wood, paint",
324913,Inscribed brick,-1895,Isin-Larsa,,Ceramic,Ceramics-Architectural-Inscribed
555870,Stela of Seankhptah,-1887,,Egypt,Granite,
544548,Leaders of the Aamu of Shu,-1887,,Egypt,Tempera on paper,
547789,Magical Water Jar of Sithathoryunet with Lid,-1887,,Egypt,Travertine (Egyptian alabaster),
324592,Votive cone with cuneiform inscription of Sin-Kashid,-1850,Babylonian,,Clay,Clay-Tablets-Inscribed
544243,Magic wand,-1850,,Egypt,Ivory: Hippopotamus,
544349,Stela of Four Women,-1802,,Egypt,"Limestone, paint",
555869,Coffin,-1802,,Egypt,"Sycomore wood, paint",
555884,Coffin of Entemaemsaf,-1802,,Egypt,"Sycomore wood, paint",
544326,Coffin of Khnumnakht,-1802,,,"Wood, paint",
556699,Papyrus burnisher,-1800,,Egypt,Wood,
323138,Scarab seal,-1786,,,"Steatite, bone colored",Stone-Stamp Seals
323131,Scarab seal,-1786,,,"Steatite, white",Stone-Stamp Seals-Inscribed
323132,Scarab seal,-1786,,,"Steatite, white",Stone-Stamp Seals-Inscribed
324558,Scarab seal,-1786,,,"Stone, white",Stone-Stamp Seals-Inscribed
323141,Vessel,-1780,Canaanite,,Alabaster,Stone-Vessels
323114,Inlay,-1780,,,Bone,Ivory\/Bone-Ornaments
323115,Inlay,-1780,,,Bone,Ivory\/Bone-Ornaments
323126,Pin,-1780,,,Bronze,Metalwork-Ornaments
323127,Pin,-1780,,,Bronze,Metalwork-Ornaments
323113,Pin,-1780,,,Bronze,Metalwork-Ornaments
323112,Pin,-1780,,,Bronze,Metalwork-Ornaments
323125,Spearhead,-1780,,,Bronze,Metalwork-Implements
323111,Spearhead,-1780,,,Bronze,Metalwork-Implements
321821,Cuneiform tablet impressed with two cylinder seals: loan of barley,-1780,Babylonian,,Clay,Clay-Tablets-Inscribed-Seal Impressions
323133,Scarab seal,-1780,,,"Steatite, white",Stone-Stamp Seals-Inscribed
323143,Tripod,-1780,Canaanite,,Trachyte,Stone-Vessels
322452,Cuneiform tablet: list of builders,-1758,Babylonian,,Clay,Clay-Tablets-Inscribed
325268,Cuneiform tablet impressed with cylinder seal: receipt of silver,-1756,Babylonian,,Clay,Clay-Tablets-Inscribed-Seal Impressions
653156,Stela of Kemes,-1750,,Egypt,Limestone,
321792,Cuneiform tablet: field rental,-1749,Babylonian,,Clay,Clay-Tablets-Inscribed
328877,"Cuneiform tablet case impressed with four cylinder seals, for cuneiform tablet 86.11.214a: field rental",-1749,Babylonian,,Clay,Clay-Tablets-Inscribed-Seal Impressions
322006,Cuneiform tablet impressed with cylinder seal: docket,-1745,Babylonian,,Clay,Clay-Tablets-Inscribed-Seal Impressions
322448,Cuneiform tablet: litigation,-1726,Babylonian,,Clay,Clay-Tablets-Inscribed
325949,Cylinder seal,-1720,,,Hematite,Stone-Cylinder Seals
328793,Cuneiform tablet: private letter,-1700,Babylonian,,Clay,Clay-Tablets-Inscribed
324561,Scarab seal,-1700,,,"Steatite, bone colored",Stone-Stamp Seals
323136,Scarab seal,-1700,,,"Steatite, bone colored",Stone-Stamp Seals-Inscribed
324565,Scarab seal ring with Hyksos-period an-ra inscription,-1700,,,"Steatite, cream colored, bronze (?)",Stone-Ornaments-Inscribed
324562,Scarab seal,-1700,,,"Steatite, white",Stone-Stamp Seals
324564,Scarab seal,-1700,,,"Steatite, white",Stone-Stamp Seals-Inscribed
323130,Scarab seal: lion and snake,-1700,,,"Steatite, white",Stone-Stamp Seals
323139,Scarab seal,-1700,,,"Steatite, white",Stone-Stamp Seals
323119,Scarab seal ring,-1700,,,"Steatite, white",Stone-Stamp Seals
323137,Scarab seal,-1700,,,"Steatite, white",Stone-Stamp Seals
323140,Scarab seal,-1700,,,"Steatite, white",Stone-Stamp Seals-Inscribed
323135,Scarab seal: galloping horned animal,-1700,,,"Steatite, white",Stone-Stamp Seals
323134,Scarab seal,-1700,,,"Steatite, white",Stone-Stamp Seals-Inscribed
323117,Scarab seal,-1700,,,"Steatite, white",Stone-Stamp Seals
323116,Scarab seal,-1700,,,"Steatite, white",Stone-Stamp Seals
324560,Scarab seal,-1700,,,"Steatite, white pink",Stone-Stamp Seals
324563,Scarab seal,-1700,,,"Stone, cream colored",Stone-Stamp Seals
324555,Scarab seal,-1700,,,"Stone, white",Stone-Stamp Seals
324556,Scarab seal,-1700,,,"Stone, white",Stone-Stamp Seals
324559,Scarab seal,-1700,,,"Stone, white",Stone-Stamp Seals-Inscribed
324557,Scarab seal ring,-1700,,,"Stone, white, copper alloy mount",Stone-Stamp Seals
321802,Cuneiform tablet: loan of silver,-1646,Babylonian,,Clay,Clay-Tablets-Inscribed
322458,Cuneiform tablet impressed with cylinder seal: harvester contract,-1640,Babylonian,,Clay,Clay-Tablets-Inscribed-Seal Impressions
548350,Bucranium,-1640,,Egypt,"Horn, bone, paint",
321944,Cuneiform tablet impressed with three cylinder seals: record of slave sale,-1637,Babylonian,,Clay,Clay-Tablets-Inscribed-Seal Impressions
321701,Cuneiform tablet impressed with cylinder seal: tax receipt,-1634,Babylonian,,Clay,Clay-Tablets-Inscribed-Seal Impressions
321706,Cuneiform tablet: private letter,-1632,Babylonian,,Clay,Clay-Tablets-Inscribed
322459,Cuneiform tablet impressed with cylinder seal: loan of silver,-1618,Babylonian,,Clay,Clay-Tablets-Inscribed-Seal Impressions
322472,Cuneiform tablet: distribution of barley,-1614,Babylonian,,Clay,Clay-Tablets-Inscribed
323755,"Cuneiform tablet: Sumerian dedicatory(?) inscription from Ekur, the temple of the god Enlil",-1600,Kassite,,Black marble,Stone-Tablets-Inscribed
545751,Miniature Stela of Ahmose,-1600,,Egypt,Steatite (glazed),
546957,Rishi coffin,-1580,,Egypt,"Sycomore wood, stucco, paint",
547782,Heart amulet with human head,-1550,,Egypt,"Jasper, carnelian, chlorite",
554356,Fragment of a Model Jar,-1550,,,"Limestone, paint",
546008,Plaque,-1550,,Egypt,Serpentinite,
548482,Game Box Inscribed for Taia and His Family,-1550,,Egypt,Wood,
554768,Shabti and Coffin,-1550,,,"Wood, ink",
545878,Account of a Campaign of Thutmose I,-1504,,Egypt,Limestone,
547695,Stela of Ameny and his Wife Inet-Hapy,-1504,,Egypt,"Limestone, paint",
549138,Canopic Jar of Ruiu,-1504,,Egypt,"Pottery, Marl B, paint",
549137,Canopic Jar of Ruiu,-1504,,Egypt,"Pottery, Marl B, paint",
549136,Canopic Jar of Ruiu,-1504,,Egypt,"Pottery, Marl B, paint",
546760,Canopic Jar of Ruiu,-1504,,Egypt,"Pottery, Marl B, paint",
